label,labelshort,from,to,fromh,toh,median
Baildon,Baildon,7,36,16,25,20
Mariacka,Mariacka,11,35,20,26,22
Muchowiec,Muchowiec,11,31,18,23,21
Park Śląski,Park Śląski,11,38,20,28,23
plac Grunwaldzki,pl.Grunwaldzki,7,36,17,26,21
plac Rady Europy,pl.Rady E-py,9,34,19,25,21
plac Rostka,pl.Rostka,9,29,16,21,19
plac Sejmu Śląskiego,pl.Sejmu Śl.,10,31,18,23,21
plac Wolności,pl.Wolności,7,33,16,23,19
Raciborska,Raciborska,10,30,18,23,20
rondo Ziętka,rondo Ziętka,8,33,15,23,18
Rynek,Rynek,9,37,20,27,22
Strefa Kultury,Strefa Kult.,8,34,15,25,19
Trzy Stawy,Trzy Stawy,9,29,15,22,18
